"sample","lead","removed"
1,0,0
2,104,1
3,10,0
4,6,0
5,5,0
6,0,0
7,3,0
8,0,0
9,13,0
10,4,0
11,8,0
12,6,0
13,2,0
14,1,0
15,1,0
16,0,0
17,2,0
18,7,0
19,3,0
20,5,0
21,0,0
22,5,0
23,5,0
24,42,0
25,22,0
26,8,0
27,20,1
28,6,0
29,2,0
30,5,0
31,3,0
32,2,0
33,3,0
34,4,0
35,21,0
36,7,0
37,3,0
38,42,0
39,0,0
40,7,0
41,29,0
42,18,0
43,1,0
44,2,0
45,3,0
46,1,0
47,5,0
48,0,0
49,3,0
50,10,0
51,2,0
52,5,0
53,2,0
54,3,0
55,0,0
56,3,0
57,9,0
58,11,0
59,0,0
60,0,0
61,3,0
62,6,0
63,2,0
64,0,0
65,2,0
66,0,0
67,2,0
68,0,0
69,3,0
70,5,0
71,2,0
